Number,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24hr), 1h, 24h, 7d
416,Elixir,ELIX,13386299.89,0.430409,31101347.54,112257,-0.85,11.33,3.6
417,Mysterium,MYST,13280048.92,0.683516,19429024.22,174257,-0.6,9.36,15.22
418,Linda,LINDA,13215890.03,0.00220139,6003429666,144629,-0.53,15.37,-0.28
419,Incent,INCNT,13167282.53,0.286142,46016602,52388.1,-0.65,11.8,3.07
420,bitqy,BQ,13157101.28,0.00451624,2913286557,1230.38,-0.99,2.13,-2.1
421,Russian Miner...,RMC,13137212.22,8717.46,1507,23968,-1,1.75,1.93
422,Musicoin,MUSIC,12971134.37,0.0214518,604664148,92093.5,-1.36,11.85,-0.81
423,SportyCo,SPF,12965680.67,0.254568,50932091.5,902985,2.03,19.31,-14.08
424,Hackspace Cap...,HAC,12925292.06,0.0398549,324308731.3,386410,-0.99,13.87,2.63
425,Polis,POLIS,12885780.92,15.9439,808195.0412,162058,-1.34,15.72,14.33
426,Solaris,XLR,12794881.4,12.8277,997441.5832,88983.4,-8.73,11.16,-11.4
427,Global Curren...,GCR,12741663.69,0.122868,103702051.7,81418.5,-5.78,12.24,-0.51
428,Bitcrystals,BCY,12453615.44,0.537152,23184527.73,174679,-0.54,13.89,7.67
429,Flixxo,FLIXX,12404997.32,0.166515,74497776.87,34958.9,-1.77,10.88,0.6
430,Change,CAG,12209857.85,0.329019,37109886.82,1457480,3.25,9.83,-0.72
431,OBITS,OBITS,12193334,0.777904,15674599.95,26531.2,-3.15,6.44,-6.92
432,Internet of P...,IOP,12191046.61,3.69945,3295367.315,530518,6.53,21.36,9.47
433,Stealthcoin,XST,12107139.08,0.431249,28074590.51,34660.3,-0.57,16.75,15.02
434,BlockCAT,CAT,12060588.86,1.63864,7360121.112,38347.6,0.21,4.86,-6.33
435,CVCoin,CVCOIN,11999901.45,1.21987,9837033,16092,-0.25,7.53,1.06
436,Dynamic,DYN,11967965.01,2.5129,4762610.931,255462,-3.8,14.95,-10.69
437,Leverj,LEV,11942139.06,0.101127,118090510.6,38309.4,-5.43,5.41,-18.31
438,EarthCoin,EAC,11889472.89,0.00101345,11731681772,25294.3,7.08,23.72,0.43
